"ID","製品番号","製品名","登録日","理由"
"1","92305","ECOA-V100S/SW BAR-SCANNER","2025/08/01 0:00:00","後継機リリース"
"2","33801","VERIFONE P400(WITH P SHIELD)","2025/08/27 0:00:00","後継機リリース"
